number_of_rooms,floor,area,latitude,longitude,price
2,4,40.0,38.5615057,68.739065,370000
3,3,72.0,38.5902908,68.73696025314088,500000
2,8,48.0,38.5615057,68.739065,350000
2,3,50.0,,,300000
2,8,76.0,,,408000
1,13,58.0,38.5575994,68.76368975457416,299000
2,12,75.0,38.5112209,68.73803768568288,300000
1,11,48.0,38.5112209,68.73803768568288,195000
2,7,83.0,,,350000
1,8,55.0,,,240000
4,4,134.0,38.5704518,68.77644953851382,1250000
3,10,102.0,38.5540499,68.78854784999999,370000
2,14,85.0,38.5647176,68.7909964,385000
1,1,22.0,38.5305762,68.7763022,80000
4,6,157.0,38.5960365,68.78432348227021,1980000
4,9,177.0,,,1150150
3,7,90.0,38.584950250000006,68.76348722496377,889200
2,16,75.0,38.5507163,68.8305472,370000
3,8,84.0,,,484000
2,15,85.0,38.56254805,68.81436528669661,391000
1,4,35.0,38.54670385,68.74736905,342000
3,15,132.0,38.5507163,68.8305472,632000
3,6,90.0,,,775200
4,11,140.0,38.5871679,68.7869964,845880
2,8,65.0,38.4881522,68.7153354,400000
3,2,114.0,38.5911176,68.7546006,988000
3,1,103.0,,,967300
4,3,58.0,38.5871679,68.7869964,605000
1,3,35.0,38.5902908,68.73696025314088,289000
1,2,75.0,,,649000
1,9,43.0,,,319200
2,4,80.0,,,969000
3,2,70.0,38.5425835,68.81521423589763,646000
2,4,78.0,38.5305762,68.7763022,638000
2,12,86.0,,,670000
3,12,150.0,,,720000
3,9,84.0,,,385000
4,3,235.0,,,2965000
2,14,95.0,,,509000
3,16,118.0,,,578000
2,13,100.0,38.56254805,68.81436528669661,565440
2,11,70.0,38.5507163,68.8305472,530000
3,7,106.0,38.6073612,68.76542276524367,387000
1,10,50.0,,,223000
2,17,82.0,38.55014405,68.76102166353772,374000
1,4,64.0,38.6073612,68.76542276524367,250000
1,5,60.0,38.6073612,68.76542276524367,234000
2,8,85.0,38.52225355,68.74991793788521,500000
1,8,50.0,38.5615057,68.739065,285000
2,8,50.0,38.58527165,68.7282739598053,285000
5,12,163.0,38.5658287,68.7857279,930000
3,16,116.0,,,595000
3,5,165.0,38.5871679,68.7869964,1037000
3,16,82.0,38.5853222,68.71890381645422,170900
2,12,45.0,38.5623522,68.81128815016059,565000
2,5,56.0,38.5615057,68.739065,400000
2,9,91.0,38.5736713,68.7948765,568000
2,6,85.0,38.5631138,68.7919442,530000
1,15,52.0,38.5736713,68.7948765,330000
2,10,52.0,38.5507163,68.8305472,507000
2,9,68.0,38.5507163,68.8305472,830000
2,12,77.0,38.5507163,68.8305472,455000
2,8,88.0,,,372000
3,14,120.0,38.5647176,68.7909964,543000
2,15,50.0,38.5507163,68.8305472,295000
1,12,61.0,38.5507163,68.8305472,368000
2,14,76.0,38.584950250000006,68.76348722496377,410000
1,10,43.0,38.54383815,68.7246305,152000
1,9,55.0,38.5834656,68.7891768,295000
1,12,57.0,38.533662,68.6677214,357390
2,12,72.0,38.56067835,68.74870560029927,240240
2,8,76.0,38.5962604,68.7519009,519840
1,15,50.0,38.5507163,68.8305472,295000
2,8,100.0,38.5962604,68.7519009,684000
3,13,120.0,38.5729167,68.7874518,1504800
3,3,106.0,38.566674,68.78088647724358,785460
3,6,106.0,,,422940
3,15,110.0,38.5871679,68.7869964,1482500
3,8,142.0,38.5962604,68.7519009,971280
3,9,130.0,,,837000
3,7,97.0,38.52225355,68.74991793788521,586000
2,11,92.0,38.5707484,68.7886955,575000
3,8,126.0,38.563966,68.7969471,735000
1,17,63.0,,,625000
2,18,101.0,38.5707484,68.7886955,585000
3,12,165.0,38.58096865,68.79602632635067,944000
2,3,63.0,,,460000
3,16,84.0,,,415000
1,15,59.0,38.4881522,68.7153354,288000
2,16,84.0,,,415000
2,17,135.0,38.52225355,68.74991793788521,395000
2,11,101.0,,,630000
2,14,100.0,,,599900
2,5,95.0,38.584950250000006,68.76348722496377,1083000
2,2,79.0,38.5540499,68.78854784999999,367000
2,3,45.0,38.5305762,68.7763022,337000
2,4,48.0,38.5227788,68.766135,300000
1,10,60.0,38.5507163,68.8305472,351000
1,10,65.0,38.5686948,68.773037,332000
2,10,52.0,38.5507163,68.8305472,507000
1,11,48.0,38.5112209,68.73803768568288,285000
2,8,78.0,38.5686948,68.773037,398000
4,8,90.0,38.52399065,68.74912565571961,612000
2,12,72.0,38.46467165,68.7389283220156,229000
2,2,40.0,,,354000
3,7,86.0,38.5425835,68.81521423589763,544000
1,12,60.0,38.58527165,68.7282739598053,229000
2,2,55.0,38.5234594,68.74951586109968,465000
1,11,42.0,38.5507163,68.8305472,201955
2,8,43.0,38.5507163,68.8305472,221427
2,8,90.0,38.5507163,68.8305472,460192
4,9,160.0,,,880000
4,4,64.0,38.58569185,68.72512473468157,535000
2,4,50.0,38.5305762,68.7763022,410000
2,13,67.0,38.5266002,68.74827971106365,310000
2,5,75.0,38.5853222,68.71890381645422,600000
2,4,58.0,38.5853222,68.71890381645422,430000
2,5,55.0,38.5425835,68.81521423589763,285000
2,8,78.0,38.5425835,68.81521423589763,342000
6,9,357.0,38.5234594,68.74951586109968,3420000
3,3,110.0,38.5707484,68.7886955,1254000
3,3,75.0,,,379000
3,14,178.0,38.584950250000006,68.76348722496377,2450000
1,13,55.0,38.5834656,68.7891768,379500
2,6,51.0,38.5507163,68.8305472,499000
4,7,50.0,,,680000
2,1,54.0,,,406000
