iter	Passed	Remaining
885	1357	174
886	1358	173
887	1360	171
888	1361	170
889	1363	168
890	1364	166
891	1365	165
892	1367	163
893	1369	162
894	1370	160
895	1372	159
896	1373	157
897	1375	156
898	1376	154
899	1378	153
900	1379	151
901	1381	150
902	1382	148
903	1384	146
904	1385	145
905	1387	143
906	1388	142
907	1389	140
908	1391	139
909	1392	137
910	1394	136
911	1395	134
912	1397	133
913	1398	131
914	1400	130
915	1401	128
916	1403	127
917	1405	125
918	1406	123
919	1408	122
920	1409	120
921	1411	119
922	1412	117
923	1413	116
924	1415	114
925	1416	113
926	1418	111
927	1419	110
928	1421	108
929	1423	107
930	1424	105
931	1425	104
932	1427	102
933	1428	100
934	1430	99
935	1431	97
936	1433	96
937	1434	94
938	1436	93
939	1438	91
940	1439	90
941	1440	88
942	1442	87
943	1443	85
944	1445	84
945	1446	82
946	1448	81
947	1449	79
948	1451	77
949	1452	76
950	1454	74
951	1455	73
952	1457	71
953	1459	70
954	1461	68
955	1462	67
956	1464	65
957	1465	64
958	1467	62
959	1468	61
960	1470	59
961	1471	58
962	1472	56
963	1474	55
964	1475	53
965	1477	51
966	1478	50
967	1480	48
968	1481	47
969	1483	45
970	1484	44
971	1486	42
972	1487	41
973	1488	39
974	1490	38
975	1491	36
976	1493	35
977	1494	33
978	1496	32
979	1497	30
980	1499	29
981	1500	27
982	1502	25
983	1503	24
984	1505	22
985	1506	21
986	1508	19
987	1509	18
988	1511	16
989	1513	15
990	1514	13
991	1516	12
992	1518	10
993	1519	9
994	1521	7
995	1522	6
996	1524	4
997	1526	3
998	1527	1
999	1529	0
